"X1","id","category","sub_category","order_date","sales"
1,"CG-12520","Furniture","Bookcases",2016-11-08,261.96
2,"CG-12520","Furniture","Chairs",2016-11-08,731.94
3,"DV-13045","Office Supplies","Labels",2016-06-12,14.62
4,"SO-20335","Furniture","Tables",2015-10-11,957.5775
5,"SO-20335","Office Supplies","Storage",2015-10-11,22.368
6,"BH-11710","Furniture","Furnishings",2014-06-09,48.86
7,"BH-11710","Office Supplies","Art",2014-06-09,7.28
8,"BH-11710","Technology","Phones",2014-06-09,907.152
9,"BH-11710","Office Supplies","Binders",2014-06-09,18.504
10,"BH-11710","Office Supplies","Appliances",2014-06-09,114.9
11,"BH-11710","Furniture","Tables",2014-06-09,1706.184
12,"BH-11710","Technology","Phones",2014-06-09,911.424
13,"AA-10480","Office Supplies","Paper",2017-04-15,15.552
14,"IM-15070","Office Supplies","Binders",2016-12-05,407.976
15,"HP-14815","Office Supplies","Appliances",2015-11-22,68.81
16,"HP-14815","Office Supplies","Binders",2015-11-22,2.544
17,"PK-19075","Office Supplies","Storage",2014-11-11,665.88
18,"AG-10270","Office Supplies","Storage",2014-05-13,55.5
19,"ZD-21925","Office Supplies","Art",2014-08-27,8.56
20,"ZD-21925","Technology","Phones",2014-08-27,213.48
21,"ZD-21925","Office Supplies","Binders",2014-08-27,22.72
22,"KB-16585","Office Supplies","Art",2016-12-09,19.46
23,"KB-16585","Office Supplies","Appliances",2016-12-09,60.34
24,"SF-20065","Furniture","Chairs",2017-07-16,71.372
25,"EB-13870","Furniture","Tables",2015-09-25,1044.63
26,"EH-13945","Office Supplies","Binders",2016-01-16,11.648
27,"EH-13945","Technology","Accessories",2016-01-16,90.57
28,"TB-21520","Furniture","Bookcases",2015-09-17,3083.43
29,"TB-21520","Office Supplies","Binders",2015-09-17,9.618
30,"TB-21520","Furniture","Furnishings",2015-09-17,124.2
31,"TB-21520","Office Supplies","Envelopes",2015-09-17,3.264
32,"TB-21520","Office Supplies","Art",2015-09-17,86.304
33,"TB-21520","Office Supplies","Binders",2015-09-17,6.858
34,"TB-21520","Office Supplies","Art",2015-09-17,15.76
35,"MA-17560","Office Supplies","Paper",2017-10-19,29.472
36,"GH-14485","Technology","Phones",2016-12-08,1097.544
37,"GH-14485","Furniture","Furnishings",2016-12-08,190.92
38,"SN-20710","Office Supplies","Envelopes",2015-12-27,113.328
39,"SN-20710","Furniture","Bookcases",2015-12-27,532.3992
40,"SN-20710","Furniture","Chairs",2015-12-27,212.058
41,"SN-20710","Technology","Phones",2015-12-27,371.168
42,"LC-16930","Technology","Phones",2017-09-10,147.168
43,"RA-19885","Office Supplies","Storage",2016-07-17,77.88
44,"ES-14080","Office Supplies","Storage",2017-09-19,95.616
45,"ON-18715","Technology","Accessories",2016-03-11,45.98
46,"ON-18715","Office Supplies","Binders",2016-03-11,17.46
47,"PO-18865","Office Supplies","Storage",2014-10-20,211.96
48,"LH-16900","Technology","Accessories",2016-06-20,45
49,"LH-16900","Technology","Phones",2016-06-20,21.8
50,"DP-13000","Office Supplies","Binders",2015-04-18,38.22
51,"DP-13000","Office Supplies","Labels",2015-04-18,75.18
52,"DP-13000","Furniture","Furnishings",2015-04-18,6.16
53,"DP-13000","Furniture","Chairs",2015-04-18,89.99
54,"JM-15265","Office Supplies","Fasteners",2016-12-11,15.26
55,"JM-15265","Technology","Phones",2016-12-11,1029.95
56,"TB-21055","Office Supplies","Storage",2016-06-17,208.56
57,"TB-21055","Office Supplies","Paper",2016-06-17,32.4
58,"TB-21055","Furniture","Chairs",2016-06-17,319.41
59,"TB-21055","Office Supplies","Paper",2016-06-17,14.56
60,"TB-21055","Technology","Accessories",2016-06-17,30
61,"TB-21055","Office Supplies","Binders",2016-06-17,48.48
62,"TB-21055","Office Supplies","Art",2016-06-17,1.68
63,"KM-16720","Technology","Accessories",2015-11-24,13.98
64,"KM-16720","Office Supplies","Binders",2015-11-24,25.824
65,"KM-16720","Office Supplies","Paper",2015-11-24,146.73
66,"KM-16720","Furniture","Furnishings",2015-11-24,79.76
67,"PS-18970","Furniture","Chairs",2015-04-30,213.115
68,"BS-11590","Office Supplies","Art",2014-12-05,1113.024
69,"BS-11590","Technology","Phones",2014-12-05,167.968
70,"KD-16270","Office Supplies","Paper",2016-06-04,75.88
71,"HM-14980","Office Supplies","Binders",2016-09-18,4.616
72,"TB-21520","Office Supplies","Paper",2017-09-14,19.05
73,"JE-15745","Furniture","Chairs",2015-04-26,831.936
74,"JE-15745","Furniture","Furnishings",2015-04-26,97.04
75,"JE-15745","Office Supplies","Storage",2015-04-26,72.784
76,"KB-16600","Office Supplies","Binders",2017-12-09,1.248
77,"KB-16600","Furniture","Furnishings",2017-12-09,9.708
78,"KB-16600","Office Supplies","Storage",2017-12-09,27.24
79,"JE-15745","Furniture","Furnishings",2014-11-26,19.3
80,"SC-20770","Office Supplies","Appliances",2016-06-12,208.16
81,"SC-20770","Office Supplies","Binders",2016-06-12,16.74
82,"DN-13690","Office Supplies","Art",2014-10-12,14.9
83,"DN-13690","Office Supplies","Storage",2014-10-12,21.39
84,"JC-16105","Office Supplies","Envelopes",2015-09-03,200.984
85,"CS-12400","Office Supplies","Storage",2017-11-13,230.376
86,"PO-18865","Furniture","Chairs",2017-05-28,301.96
87,"PG-18895","Technology","Accessories",2017-10-26,19.99
88,"PG-18895","Office Supplies","Labels",2017-10-26,6.16
89,"GM-14455","Office Supplies","Storage",2016-04-05,158.368
90,"JS-15685","Office Supplies","Art",2016-09-17,20.1
91,"JS-15685","Technology","Phones",2016-09-17,73.584
92,"JS-15685","Office Supplies","Paper",2016-09-17,6.48
93,"KB-16315","Office Supplies","Paper",2015-01-31,12.96
94,"KB-16315","Furniture","Furnishings",2015-01-31,53.34
95,"KB-16315","Office Supplies","Binders",2015-01-31,32.96
96,"RB-19705","Office Supplies","Binders",2017-11-06,5.682
97,"PN-18775","Furniture","Furnishings",2017-11-09,96.53
98,"KD-16345","Office Supplies","Binders",2017-06-17,51.312
99,"ER-13855","Office Supplies","Appliances",2016-09-06,77.88
100,"RB-19465","Office Supplies","Paper",2016-08-29,64.624
101,"RB-19465","Technology","Accessories",2016-08-29,95.976
102,"RB-19465","Office Supplies","Binders",2016-08-29,1.788
103,"GZ-14470","Office Supplies","Paper",2016-12-01,23.92
104,"LC-16870","Technology","Accessories",2015-11-13,238.896
105,"LC-16870","Furniture","Furnishings",2015-11-13,102.36
106,"LC-16870","Office Supplies","Binders",2015-11-13,36.882
107,"JM-15250","Technology","Accessories",2017-11-23,74.112
108,"JM-15250","Technology","Phones",2017-11-23,27.992
109,"JM-15250","Office Supplies","Art",2017-11-23,3.304
110,"PA-19060","Technology","Accessories",2015-10-15,339.96
111,"CV-12805","Furniture","Furnishings",2017-12-25,41.96
112,"CL-12565","Office Supplies","Art",2016-11-03,75.96
113,"CL-12565","Office Supplies","Binders",2016-11-03,27.24
114,"RC-19960","Office Supplies","Fasteners",2014-08-25,40.096
115,"RC-19960","Office Supplies","Envelopes",2014-08-25,4.72
116,"RC-19960","Office Supplies","Paper",2014-08-25,23.976
117,"RC-19960","Office Supplies","Envelopes",2014-08-25,130.464
118,"DK-13090","Furniture","Tables",2015-03-02,787.53
119,"GG-14650","Office Supplies","Binders",2015-04-05,157.794
120,"SC-20725","Furniture","Furnishings",2016-06-12,47.04
121,"SC-20725","Office Supplies","Binders",2016-06-12,30.84
122,"SC-20725","Office Supplies","Storage",2016-06-12,226.56
123,"SC-20725","Office Supplies","Envelopes",2016-06-12,115.02
124,"SC-20725","Technology","Phones",2016-06-12,68.04
125,"AD-10180","Furniture","Chairs",2014-12-26,600.558
126,"PF-19165","Furniture","Tables",2014-09-20,617.7
127,"TS-21610","Office Supplies","Binders",2017-11-05,2.388
128,"TS-21610","Office Supplies","Storage",2017-11-05,243.992
129,"LS-16975","Furniture","Chairs",2016-11-06,81.424
130,"LS-16975","Furniture","Furnishings",2016-11-06,238.56
131,"DW-13585","Technology","Phones",2017-02-02,59.97
132,"DW-13585","Office Supplies","Paper",2017-02-02,78.304
133,"DW-13585","Office Supplies","Fasteners",2017-02-02,21.456
134,"LC-16885","Office Supplies","Paper",2016-10-13,20.04
135,"LC-16885","Office Supplies","Paper",2016-10-13,35.44
136,"LC-16885","Office Supplies","Art",2016-10-13,11.52
137,"LC-16885","Office Supplies","Fasteners",2016-10-13,4.02
138,"LC-16885","Office Supplies","Binders",2016-10-13,76.176
139,"LC-16885","Office Supplies","Supplies",2016-10-13,65.88
140,"LC-16885","Furniture","Furnishings",2016-10-13,43.12
